wikibase_item,pdf,zot
Q35377,https://www.inguma.eus/fso/fitxategia/147-ikergazte.iv.01.43-50.intonazio-kontornu.pdf,TCFE7U9Y
Q35378,https://www.inguma.eus/fso/fitxategia/146-ikergazte.iv.01.35-41.itzulpena-interpretazioa.pdf,5QCH2ZVF
Q35379,https://www.inguma.eus/fso/fitxategia/145-ikergazte.iv.01.27-33.ahal-mugaz.pdf,2WVGQTMG
Q35384,https://www.inguma.eus/fso/fitxategia/60-ikergazte.iv.05.257-264.presa-handi.pdf,BWM3CPTN
Q35385,https://www.inguma.eus/fso/fitxategia/59-ikergazte.iv.05.249-255.nanopartikulen-lipido.pdf,PRWTWTUB
Q35408,https://www.inguma.eus/fso/fitxategia/39-ikergazte.iv.05.115-122.maneiu-estentsibopean.pdf,ET9NXLKS
Q35409,https://www.inguma.eus/fso/fitxategia/38-ikergazte.iv.05.111-114.BM15-BM18.pdf,CCMTBZAH
Q35412,https://www.inguma.eus/fso/fitxategia/34-ikergazte.iv.05.87-93.infusioen-ahalmen.pdf,23ZELYNV
Q35414,https://www.inguma.eus/fso/fitxategia/33-ikergazte.iv.05.73-77.polimero-biobateragarrien.pdf,UNG2WQFZ
Q35419,https://www.inguma.eus/fso/fitxategia/27-ikergazte.iv.05.37-44.glisofato-herbizidak.pdf,ETPV2GKY
Q35431,https://www.inguma.eus/fso/fitxategia/77-ikergazte.iv.03.129-136.eraginkotasun-energetikoaren.pdf,RM8KWJQR
Q35436,https://www.inguma.eus/fso/fitxategia/72-ikergazte.iv.03.91-98.diseinuaren-ezagutza.pdf,I99U6HSL
Q35438,https://www.inguma.eus/fso/fitxategia/70-ikergazte.iv.03.73-80.interferentzia-elektromagnetikoaren.pdf,MCJC6Z7C
Q35444,https://www.inguma.eus/fso/fitxategia/64-ikergazte.iv.03.25-32.bidaiari-trenek.pdf,Q2EPJMPA
Q35446,https://www.inguma.eus/fso/fitxategia/139-ikergazte.iv.03.11-15.potentzia-prozesamendu.pdf,Z5EMKNFY
Q35466,https://www.inguma.eus/fso/fitxategia/243-ikergazte.iii.05.16_22.pdf,ZGRXKWFV
Q35468,https://www.inguma.eus/fso/fitxategia/241-ikergazte.iii.04.178_184.pdf,2GZVVH75
Q35475,https://www.inguma.eus/fso/fitxategia/234-ikergazte.iii.04.122_129.pdf,KQ82HIIQ
Q35479,https://www.inguma.eus/fso/fitxategia/230-ikergazte.iii.04.92_98.pdf,RS5RMLIB
Q35482,https://www.inguma.eus/fso/fitxategia/227-ikergazte.iii.04.70_75.pdf,HM6PK8DM
Q35489,https://www.inguma.eus/fso/fitxategia/220-ikergazte.iii.04.18_23.pdf,CXVFQMYN
Q35490,https://www.inguma.eus/fso/fitxategia/219-ikergazte.iii.04.12_17.pdf,T9ZD7KZ6
Q35494,https://www.inguma.eus/fso/fitxategia/214-ikergazte.iii.03.133_140.pdf,ZWJVWEZJ
Q35495,https://www.inguma.eus/fso/fitxategia/213-ikergazte.iii.03.125_132.pdf,9SZUSIJT
Q35501,https://www.inguma.eus/fso/fitxategia/208-ikergazte.iii.03.79_86.pdf,5ZTFMBQH
