id	lemma	pos
1071	apanakuy	v.recip.
1072	apanqara	s.
1073	apanqura	s.
1074	apanqura	s.
1075	apantin	s.
1076	apapu suwapu	s.
1077	apaq	s.a.
1078	apaqa	s.
1079	apaqachiy	v.tr.
1080	apaqamuy	v.tr.
1081	apaqapuy	v.tr.
1082	apaqay	v.tr.
1083	apaqaysiy	v.tr.
1084	aparayay	v.tr.
1085	aparikapuy	v.tr.
1086	aparikuy	v.tr.
1087	aparina	s.
1088	apariy	v.tr.
1089	apariy kancha	s.
1090	aparki	s.
1091	aparquy	v.tr.
1092	apasanka	s.
1093	apatara	s.
1094	apay	v.tr.
1095	apay	v.tr.
1096	apaykachana	s.
1097	apaykachay	s.
1098	apaykachay	v.tr.
1099	apaykamuy	v.tr.
1100	apaykupuy	s.
1101	apaykusqa	p.p.p.
1102	apaykuy	v.tr.
1103	apaysiy	v.tr.
1104	apaytallaku	s.
1105	api	adj.
1106	api	s.
1107	apichu	s.
1108	apiki	adv.m.
1109	apillidu	s.
1110	api wapa	s.
1111	apiy	v.tr.
1112	apiyachiy	v.tr.
1113	apiyay	v.intr.
1114	apray	v.tr.
1115	aprikuy	v.tr.
1116	apruwichay	v.intr.
1117	apsu	s.
1118	aptapiy	v.tr.
1119	aptay	v.tr.
1120	aptirayay	v.tr.
1121	aptiy	s.
1122	aptiy	v.mov.
1123	aptiy	v.tr.
1124	apu	adj.
1125	apu	s.
1126	apu	s.
1127	apu	s.
1128	apucha	s.
1129	apuchay	s.
1130	apuchay	v.tr.
1131	apukamachi	s.
1132	apu kay	s.
1133	apukuna	s.
