wiki_id,lila_id
L259072,lemma/90047
L259090,lemma/90059
L259118,lemma/90080
L259124,lemma/90086
L259129,lemma/90090
L259144,lemma/90104
L259157,lemma/90115
L259158,lemma/90117
L259165,lemma/90123
L259167,lemma/90127
L259170,lemma/90132
L259177,lemma/90136
L259178,lemma/90138
L259181,hypolemma/3330
L259194,lemma/105188
L259203,lemma/90169
L259254,lemma/90210
L259258,lemma/25237
L259262,lemma/90221
L259267,lemma/90218
L259282,lemma/32467
L259291,lemma/90244
L259297,lemma/90249
L259317,lemma/90269
L259324,lemma/90276
L259332,lemma/90364
L259337,lemma/90293
L259340,lemma/90295
L259346,lemma/90302
L259353,lemma/90309
L259360,lemma/90319
L259361,lemma/90318
L259377,lemma/91050
L259392,lemma/90344
L259394,lemma/90345
L259429,lemma/90370
L259434,lemma/90375
L259453,lemma/90394
L259454,lemma/90395
L259464,lemma/90405
L259482,lemma/90422
L259497,lemma/90437
L259523,lemma/137729
L259532,lemma/90478
L259549,lemma/90951
L259581,lemma/90494
L259588,lemma/90504
L259592,lemma/90507
L259610,lemma/90523
L259624,hypolemma/112894
L259635,lemma/137776
L259660,lemma/90565
L259688,lemma/90587
L259704,lemma/90607
L259707,lemma/90611
L259713,lemma/91073
L259730,lemma/90899
L259731,hypolemma/3875
L259746,lemma/90828
L259750,lemma/90638
L259758,lemma/90646
L259762,lemma/90651
L259769,lemma/90971
L259771,lemma/90675
L259772,lemma/90676
L259782,hypolemma/3890
L259784,lemma/90689
L259793,lemma/33184
L259809,lemma/137868
L259816,lemma/90726
L259824,lemma/90740
L259825,lemma/115176
L259827,lemma/90743
L259831,lemma/90746
L259848,lemma/115251
L259851,lemma/90759
L259852,lemma/90760
L259869,lemma/90777
L259888,lemma/90793
L259895,lemma/90800
L259902,lemma/90804
L259907,lemma/90807
L259909,hypolemma/4006
L259911,hypolemma/4010
L259912,hypolemma/4010
L259913,lemma/90809
L259924,lemma/90817
L259936,lemma/90828
L259947,lemma/90832
L259968,lemma/90842
L259981,lemma/90850
L259985,lemma/90852
L259998,lemma/90870
L260000,lemma/90872
L260014,lemma/90653
L260023,lemma/90661
L260035,lemma/90670
L260039,lemma/90699
L260054,lemma/90732
L260078,lemma/90882
L260084,lemma/90890
L260103,lemma/91188
L275116,lemma/105997
L275117,lemma/105996
L275128,lemma/8764
L275144,lemma/105270
L275149,lemma/8925
L275158,lemma/105296
L275166,lemma/101378
L275173,lemma/105364
L275175,lemma/105368
L275200,lemma/105397
L275213,lemma/105417
L275214,lemma/105418
L275218,lemma/105427
L275233,hypolemma/18681
L275242,lemma/9296
L275267,lemma/105530
L275269,lemma/105385
L275277,lemma/105552
L275290,lemma/105566
L275295,lemma/105582
L275309,lemma/105624
L275330,lemma/105647
L275337,lemma/105667
L275339,lemma/105668
L275360,lemma/105719
L275363,lemma/105724
L275366,lemma/105320
L275368,lemma/105319
L275383,lemma/105742
L275387,lemma/105745
L275388,lemma/105749
L275396,lemma/105454
L275412,lemma/130562
L275416,lemma/105771
L275428,lemma/9605
L275429,lemma/105790
L275434,lemma/105828
L275437,lemma/105836
L275448,hypolemma/19056
L275452,lemma/105905
L275468,lemma/105947
L275483,lemma/106052
L275485,lemma/106062
L275507,lemma/106096
L275515,hypolemma/19210
L275516,lemma/106101
L275535,hypolemma/19314
L275548,lemma/10055
L275550,lemma/106191
L275554,lemma/106196
L275560,lemma/106223
L275562,lemma/106233
L275564,lemma/106236
L275565,lemma/106235
L275569,hypolemma/19428
L275576,lemma/106220
L275579,lemma/106262
L275631,hypolemma/112824
L275635,lemma/106401
L275636,hypolemma/111578
L275639,lemma/106405
L275646,lemma/106414
L275653,hypolemma/19725
L275655,lemma/106425
L275656,hypolemma/19731
L275657,lemma/106426
L275665,lemma/106437
L275702,lemma/106499
L275716,lemma/106523
L275725,lemma/106536
L275728,lemma/106552
L275729,lemma/106557
L275739,lemma/106577
L275743,lemma/106588
L275745,lemma/106593
L275747,lemma/106595
L275759,lemma/106621
L275767,lemma/106644
L275769,lemma/106646
L275773,lemma/109576
L275797,hypolemma/20208
L275798,lemma/106708
L275801,lemma/106711
L275814,lemma/106732
L275828,lemma/106781
L275833,lemma/106774
L275838,lemma/106794
L275866,lemma/106856
L275870,lemma/106329
L282207,lemma/119456
L282210,lemma/119463
L282215,lemma/119467
L282223,lemma/119481
L282228,lemma/119489
L282232,lemma/119478
L282236,lemma/119494
L282248,lemma/73421
L282263,lemma/119586
L282265,hypolemma/35465
L282284,lemma/119625
L282286,lemma/119628
L282296,lemma/119647
L282299,lemma/119651
L282301,lemma/119653
L282311,lemma/73573
L282318,lemma/119685
L282325,lemma/119703
L282329,lemma/120898
L282333,lemma/119711
L282337,lemma/119717
L282352,lemma/119738
L282353,hypolemma/35646
L282366,lemma/119766
L282367,lemma/119768
L282371,lemma/119776
L282374,lemma/119771
L282375,lemma/119777
L282379,lemma/119786
L282394,lemma/119827
L282399,hypolemma/35741
L282402,lemma/119840
L282412,lemma/141022
L282432,lemma/119879
L282436,lemma/119893
L282447,lemma/119919
L282450,lemma/137580
L282454,lemma/119927
L282456,hypolemma/35839
L282458,lemma/120829
L282461,lemma/119936
L282465,lemma/119943
L282477,lemma/119962
L282485,lemma/119975
L282489,lemma/73758
L282490,lemma/119984
L282496,lemma/120712
L282504,lemma/120018
L282505,lemma/120020
L282517,lemma/120043
L282529,lemma/120075
L282542,lemma/120108
L282544,lemma/120111
L282545,lemma/120843
L282551,hypolemma/110864
L282559,lemma/120136
L282560,lemma/120140
L282566,lemma/120153
