wikibase_item,pdf,zot_st,zot
Q35735,https://www.inguma.eus/fso/fitxategia/440-ikergazte.i.382_388.pdf,Q35735-7DF3209F-96DC-4855-976C-F82B0120D064,SKEB9YSX
Q35736,https://www.inguma.eus/fso/fitxategia/439-ikergazte.i.376_381.pdf,Q35736-15F65981-68C7-4A69-BEEF-7C8EC16E08D7,VURCT23N
Q35739,https://www.inguma.eus/fso/fitxategia/436-ikergazte.i.356_362.pdf,Q35739-8B1507B8-94C7-4F65-9BCA-168A0D40261D,WJ7L2ZKK
Q35740,https://www.inguma.eus/fso/fitxategia/435-ikergazte.i.350_355.pdf,Q35740-8CC9E83C-D43C-4D57-8FBF-483D2E081050,9U5T7LDQ
Q35741,https://www.inguma.eus/fso/fitxategia/434-ikergazte.i.342_349.pdf,Q35741-A6D13740-49E2-47FD-B73A-5F671071D544,H4M5J8WT
Q35743,https://www.inguma.eus/fso/fitxategia/432-ikergazte.i.328_334.pdf,Q35743-E837F87C-0379-4BAA-9BF5-978AD00EB748,YN4BGH67
Q35744,https://www.inguma.eus/fso/fitxategia/431-ikergazte.i.321_327.pdf,Q35744-CAE8EFBA-9ECE-4063-BF40-80E0BFDEBABA,VUDQKYYE
Q35745,https://www.inguma.eus/fso/fitxategia/430-ikergazte.i.311_320.pdf,Q35745-E15DE3EB-0FA6-4A9A-B928-0903DD248890,29SDTMME
Q35746,https://www.inguma.eus/fso/fitxategia/429-ikergazte.i.304_310.pdf,Q35746-5C04F8ED-962F-461B-9F28-CA2663D86D6B,T6JFZUA7
Q35747,https://www.inguma.eus/fso/fitxategia/428-ikergazte.i.300_303.pdf,Q35747-2951445C-9676-4D20-BD30-A4C286D13810,NICPIGHR
Q35748,https://www.inguma.eus/fso/fitxategia/427-ikergazte.i.293_299.pdf,Q35748-586F282D-1D69-4314-894D-2E5CF2FE723C,3DVWGXC9
Q35749,https://www.inguma.eus/fso/fitxategia/426-ikergazte.i.287_292.pdf,Q35749-D6C1DCB9-2DAE-4343-BF92-39BB01B36E78,YMLUQLDC
Q35755,https://www.inguma.eus/fso/fitxategia/420-ikergazte.i.243_250.pdf,Q35755-70B1EC07-FC58-4EA3-80CC-6132295DD0CE,EJGFQEY2
Q35756,https://www.inguma.eus/fso/fitxategia/419-ikergazte.i.237_242.pdf,Q35756-F63A8233-A7C6-4168-8170-65A384477D58,T4J6PF3U
Q35757,https://www.inguma.eus/fso/fitxategia/418-ikergazte.i.228_236.pdf,Q35757-05FEBD27-A843-4BA7-AC93-7F8FC90BE31D,UKIQCBEK
Q35759,https://www.inguma.eus/fso/fitxategia/416-ikergazte.i.212_219.pdf,Q35759-DA8FAC31-D926-42F6-B963-5BD4E28954EE,PDGDN34E
Q35760,https://www.inguma.eus/fso/fitxategia/415-ikergazte.i.206_211.pdf,Q35760-EA6F685A-9260-4A6D-B4DA-EF1F8670BA45,YLJ8IQRJ
Q35761,https://www.inguma.eus/fso/fitxategia/414-ikergazte.i.198_205.pdf,Q35761-2F56A24F-15B5-4598-A935-05BD874DEAB3,6G9N7LXG
Q35762,https://www.inguma.eus/fso/fitxategia/413-ikergazte.i.189_196.pdf,Q35762-19342225-7143-4973-87D8-71C19DDC46B5,APL4G8GX
